name,type1,type2,abilities,moves,hp,attack,defense,sp_atk,sp_def,speed,bst
Ariados,Bug,Poison,Swarm|Insomnia|Sniper,Acid Spray|Agility|Assurance|Baton Pass|Body Slam|Bounce|Bug Bite|Bug Buzz|Cross Poison|Dig|Disable|Electroweb|Endure|Facade|Fell Stinger|First Impression|Focus Energy|Foul Play|Giga Drain|Giga Impact|Hex|Hyper Beam|Infestation|Knock Off|Leech Life|Lunge|Megahorn|Night Shade|Night Slash|Pin Missile|Poison Jab|Pounce|Protect|Psychic Fangs|Rage Powder|Rest|Round|Scary Face|Screech|Shadow Sneak|Skitter Smack|Sleep Talk|Sludge Bomb|Sludge Wave|Smart Strike|Snore|Solar Beam|Spite|Sticky Web|Stomping Tantrum|String Shot|Struggle Bug|Substitute|Sucker Punch|Sunny Day|Swords Dance|Thief|Throat Chop|Toxic|Toxic Spikes|Toxic Thread|Trailblaze|Venoshock|X-Scissor,70,90,70,60,70,40,400
Ampharos,Electric,,Static|Plus,After You|Agility|Body Slam|Breaking Swipe|Brick Break|Brutal Swing|Bulldoze|Charge|Charge Beam|Confuse Ray|Cotton Guard|Cotton Spore|Dazzling Gleam|Dig|Discharge|Double-Edge|Dragon Cheer|Dragon Pulse|Dragon Tail|Eerie Impulse|Electric Terrain|Electro Ball|Electroweb|Endeavor|Endure|Facade|Fire Punch|Flatter|Fling|Focus Blast|Focus Punch|Giga Impact|Helping Hand|Hyper Beam|Ice Punch|Iron Tail|Light Screen|Low Kick|Magnetic Flux|Mega Kick|Meteor Beam|Outrage|Parabolic Charge|Power Gem|Protect|Rain Dance|Reflect|Rest|Rising Voltage|Roar|Round|Safeguard|Screech|Sleep Talk|Snore|Stomping Tantrum|Substitute|Sunny Day|Supercell Slam|Thunder|Thunder Punch|Thunder Wave|Thunderbolt|Trailblaze|Volt Switch|Wild Charge|Zap Cannon,90,75,85,115,90,55,510
Azumarill,Water,Fairy,Thick Fat|Huge Power|Sap Sipper,Alluring Voice|Amnesia|Aqua Jet|Aqua Ring|Aqua Tail|Belly Drum|Blizzard|Body Slam|Bounce|Brick Break|Brutal Swing|Bulldoze|Charm|Chilling Water|Copycat|Dig|Dive|Double-Edge|Draining Kiss|Encore|Endure|Facade|Fake Tears|Fling|Focus Blast|Focus Punch|Future Sight|Giga Impact|Grass Knot|Helping Hand|Hydro Pump|Hyper Beam|Hyper Voice|Ice Beam|Ice Punch|Ice Spinner|Icy Wind|Iron Tail|Knock Off|Light Screen|Liquidation|Misty Explosion|Misty Terrain|Mud Shot|Mud-Slap|Muddy Water|Perish Song|Play Rough|Protect|Rain Dance|Rest|Round|Sing|Sleep Talk|Snore|Snowscape|Soak|Substitute|Superpower|Surf|Tickle|Trailblaze|Uproar|Water Pulse|Waterfall|Whirlpool,100,50,80,60,80,50,420
Politoed,Water,,Water Absorb|Damp|Drizzle,Amnesia|Attract|Belly Drum|Blizzard|Body Slam|Bounce|Brick Break|Bulldoze|Chilling Water|Dig|Dive|Double-Edge|Earth Power|Earthquake|Encore|Endeavor|Endure|Facade|Fling|Focus Blast|Focus Punch|Giga Impact|Haze|Helping Hand|Hydro Pump|Hyper Beam|Hyper Voice|Hypnosis|Ice Beam|Ice Punch|Icy Wind|Liquidation|Low Kick|Low Sweep|Mud Shot|Mud-Slap|Muddy Water|Perish Song|Pound|Protect|Psych Up|Psychic|Rain Dance|Rest|Round|Screech|Sleep Talk|Snore|Substitute|Surf|Swagger|Thief|Uproar|Water Pulse|Waterfall|Weather Ball|Whirlpool,90,75,75,90,100,70,500
Espeon,Psychic,,Synchronize|Magic Bounce,Alluring Voice|Baby-Doll Eyes|Baton Pass|Bite|Body Slam|Calm Mind|Charm|Confuse Ray|Copycat|Covet|Curse|Dazzling Gleam|Detect|Dig|Double-Edge|Draining Kiss|Endure|Expanding Force|Facade|Fake Tears|Flail|Focus Energy|Future Sight|Giga Impact|Grass Knot|Gravity|Helping Hand|Hyper Beam|Hyper Voice|Imprison|Last Resort|Light Screen|Magic Room|Morning Sun|Mud-Slap|Power Gem|Power Swap|Protect|Psych Up|Psychic|Psychic Fangs|Psychic Noise|Psychic Terrain|Psyshock|Quick Attack|Rain Dance|Reflect|Rest|Roar|Round|Safeguard|Shadow Ball|Skill Swap|Sleep Talk|Snore|Stored Power|Substitute|Sunny Day|Thunder Wave|Tickle|Trailblaze|Trick|Trick Room|Weather Ball|Wish|Yawn|Zen Headbutt,65,65,60,130,95,110,525
Umbreon,Dark,,Synchronize|Inner Focus,Alluring Voice|Assurance|Baby-Doll Eyes|Baton Pass|Bite|Body Slam|Calm Mind|Charm|Confuse Ray|Copycat|Covet|Crunch|Curse|Dark Pulse|Detect|Dig|Double-Edge|Endure|Facade|Fake Tears|Flail|Focus Energy|Foul Play|Giga Impact|Guard Swap|Helping Hand|Hyper Beam|Hyper Voice|Lash Out|Last Resort|Light Screen|Mean Look|Moonlight|Mud-Slap|Payback|Protect|Psych Up|Psychic|Quick Attack|Rain Dance|Reflect|Rest|Roar|Round|Scary Face|Screech|Shadow Ball|Skill Swap|Sleep Talk|Snarl|Snore|Spite|Stored Power|Substitute|Sunny Day|Swagger|Taunt|Thief|Throat Chop|Thunder Wave|Tickle|Torment|Toxic|Trailblaze|Weather Ball|Wish|Yawn,95,65,110,60,130,65,525
Slowking,Water,Psychic,Oblivious|Own Tempo|Regenerator|Curious Medicine,Amnesia|Avalanche|Belch|Belly Drum|Blizzard|Block|Body Slam|Brick Break|Bulldoze|Calm Mind|Chilling Water|Chilly Reception|Curse|Dig|Disable|Dive|Drain Punch|Earthquake|Endure|Expanding Force|Facade|Fire Blast|Fire Punch|Flamethrower|Fling|Focus Blast|Focus Punch|Foul Play|Future Sight|Giga Impact|Grass Knot|Heal Pulse|Helping Hand|Hydro Pump|Hyper Beam|Ice Beam|Ice Punch|Icy Wind|Imprison|Iron Defense|Iron Tail|Light Screen|Liquidation|Mud Shot|Muddy Water|Nasty Plot|Power Gem|Protect|Psych Up|Psychic|Psychic Noise|Psychic Terrain|Psyshock|Rain Dance|Razor Shell|Reflect|Rest|Rock Slide|Rock Tomb|Round|Safeguard|Scald|Shadow Ball|Skill Swap|Slack Off|Sleep Talk|Snore|Snowscape|Stored Power|Substitute|Sunny Day|Surf|Swagger|Thunder Punch|Thunder Wave|Tri Attack|Trick|Trick Room|Water Pulse|Waterfall|Weather Ball|Whirlpool|Wonder Room|Yawn|Zen Headbutt,95,75,80,100,110,30,490
Forretress,Bug,Steel,Sturdy|Overcoat,Body Press|Body Slam|Bug Bite|Bug Buzz|Bulldoze|Counter|Curse|Dig|Double-Edge|Drill Run|Earth Power|Earthquake|Endure|Explosion|Facade|Flail|Flash Cannon|Giga Drain|Giga Impact|Gravity|Gyro Ball|Hard Press|Heavy Slam|Helping Hand|Hyper Beam|Ice Spinner|Iron Defense|Iron Head|Light Screen|Lunge|Magnet Rise|Metal Sound|Pain Split|Payback|Pin Missile|Poison Jab|Pounce|Power Trick|Protect|Rain Dance|Rapid Spin|Reflect|Rest|Reversal|Rock Blast|Rock Slide|Rock Tomb|Round|Sand Tomb|Sandstorm|Seed Bomb|Self-Destruct|Sleep Talk|Smart Strike|Snore|Solar Beam|Spikes|Stealth Rock|Steel Beam|Steel Roller|Stone Edge|Struggle Bug|Substitute|Sunny Day|Thunder Wave|Toxic Spikes|Venoshock|Volt Switch|Zap Cannon,75,90,140,60,60,40,465
Steelix,Steel,Ground,Rock Head|Sturdy|Sheer Force,Ancient Power|Attract|Bind|Block|Body Press|Body Slam|Breaking Swipe|Brutal Swing|Bulldoze|Crunch|Curse|Dark Pulse|Dig|Double-Edge|Dragon Dance|Dragon Pulse|Dragon Tail|Drill Run|Earth Power|Earthquake|Endure|Facade|Fire Fang|Fissure|Flail|Flash Cannon|Giga Impact|Gyro Ball|Head Smash|Heavy Slam|High Horsepower|Hyper Beam|Ice Fang|Iron Defense|Iron Head|Iron Tail|Magnet Rise|Meteor Beam|Payback|Protect|Psychic Fangs|Rest|Rock Blast|Rock Polish|Rock Slide|Rock Tomb|Round|Sand Tomb|Sandstorm|Scary Face|Scorching Sands|Screech|Self-Destruct|Sleep Talk|Smack Down|Snore|Stealth Rock|Steel Beam|Steel Roller|Stomping Tantrum|Stone Edge|Substitute|Sunny Day|Taunt|Thunder Fang|Wide Guard,75,85,200,55,65,30,510
Scizor,Bug,Steel,Swarm|Technician|Light Metal,Acrobatics|Aerial Ace|Agility|Air Cutter|Air Slash|Assurance|Baton Pass|Brick Break|Brutal Swing|Bug Bite|Bug Buzz|Bullet Punch|Close Combat|Counter|Curse|Defog|Double Hit|Double Team|Double-Edge|Dual Wingbeat|Endure|Facade|Feint|Flash Cannon|Fling|Focus Energy|Giga Impact|Hard Press|Helping Hand|Hyper Beam|Iron Defense|Iron Head|Knock Off|Light Screen|Lunge|Night Slash|Pounce|Protect|Psycho Cut|Quick Attack|Quick Guard|Rain Dance|Rest|Reversal|Roost|Round|Sandstorm|Scary Face|Skitter Smack|Sleep Talk|Snore|Steel Beam|Steel Wing|Struggle Bug|Substitute|Sunny Day|Superpower|Swords Dance|Tailwind|Thief|Trailblaze|U-turn|Vacuum Wave|X-Scissor,70,130,100,55,80,65,500
Heracross,Bug,Fighting,Swarm|Guts|Moxie,Aerial Ace|Assurance|Body Slam|Brick Break|Brutal Swing|Bug Bite|Bug Buzz|Bulk Up|Bulldoze|Bullet Seed|Circle Throw|Close Combat|Coaching|Counter|Curse|Detect|Dig|Double-Edge|Earthquake|Endeavor|Endure|Facade|Feint|Flail|Fling|Focus Blast|Focus Punch|Giga Impact|Helping Hand|High Horsepower|Hyper Beam|Iron Defense|Knock Off|Low Kick|Lunge|Megahorn|Night Slash|Pin Missile|Pounce|Protect|Rain Dance|Rest|Reversal|Rock Blast|Rock Slide|Rock Tomb|Round|Seismic Toss|Shadow Claw|Skitter Smack|Sleep Talk|Smack Down|Smart Strike|Snore|Spikes|Stone Edge|Struggle Bug|Substitute|Sunny Day|Swords Dance|Thief|Thrash|Throat Chop|Trailblaze|Upper Hand|Vacuum Wave,80,125,75,40,95,85,500
Skarmory,Steel,Flying,Keen Eye|Sturdy|Weak Armor,Aerial Ace|Agility|Air Cutter|Air Slash|Assurance|Body Press|Brave Bird|Curse|Dark Pulse|Drill Peck|Drill Run|Dual Wingbeat|Endure|Facade|Feint|Flash Cannon|Fly|Giga Impact|Hurricane|Hyper Beam|Icy Wind|Iron Defense|Iron Head|Metal Sound|Night Slash|Payback|Protect|Rest|Reversal|Roar|Rock Slide|Rock Tomb|Roost|Round|Sand Tomb|Sandstorm|Sky Attack|Sleep Talk|Snore|Spikes|Stealth Rock|Steel Beam|Steel Wing|Substitute|Sunny Day|Swords Dance|Tailwind|Taunt|Thief|Whirlwind|X-Scissor,65,80,140,40,70,70,465
Houndoom,Dark,Fire,Early Bird|Flash Fire|Unnerve,Beat Up|Bite|Body Slam|Burning Jealousy|Comeuppance|Counter|Crunch|Dark Pulse|Destiny Bond|Double-Edge|Endeavor|Endure|Facade|Feint|Fire Blast|Fire Fang|Fire Spin|Flame Charge|Flamethrower|Flare Blitz|Foul Play|Giga Impact|Heat Wave|Helping Hand|Howl|Hyper Beam|Hyper Voice|Inferno|Iron Tail|Lash Out|Mud Shot|Mud-Slap|Nasty Plot|Overheat|Pain Split|Payback|Protect|Psychic Fangs|Rain Dance|Rest|Reversal|Roar|Round|Scary Face|Scorching Sands|Shadow Ball|Sleep Talk|Sludge Bomb|Snarl|Snore|Solar Beam|Spite|Substitute|Sucker Punch|Sunny Day|Super Fang|Swagger|Taunt|Temper Flare|Thief|Throat Chop|Thunder Fang|Torment|Toxic|Trailblaze|Uproar|Will-O-Wisp,75,90,50,110,80,95,500
Tyranitar,Rock,Dark,Sand Stream|Unnerve,Aerial Ace|Ancient Power|Assurance|Avalanche|Bite|Blizzard|Body Press|Body Slam|Breaking Swipe|Brick Break|Brutal Swing|Bulldoze|Crunch|Curse|Dark Pulse|Dig|Double-Edge|Dragon Claw|Dragon Dance|Dragon Pulse|Dragon Tail|Earth Power|Earthquake|Endure|Facade|Fire Blast|Fire Fang|Fire Punch|Flamethrower|Fling|Focus Blast|Focus Energy|Focus Punch|Foul Play|Giga Impact|Hard Press|Heavy Slam|Helping Hand|High Horsepower|Hydro Pump|Hyper Beam|Ice Beam|Ice Fang|Ice Punch|Icy Wind|Iron Defense|Iron Head|Iron Tail|Knock Off|Lash Out|Low Kick|Mega Kick|Mud Shot|Mud-Slap|Muddy Water|Outrage|Payback|Power Gem|Protect|Rain Dance|Rest|Roar|Rock Blast|Rock Slide|Rock Tomb|Round|Sand Tomb|Sandstorm|Scary Face|Screech|Shadow Claw|Sleep Talk|Smack Down|Snarl|Snore|Spite|Stealth Rock|Stomping Tantrum|Stone Edge|Substitute|Sunny Day|Superpower|Surf|Swagger|Taunt|Thrash|Thunder|Thunder Fang|Thunder Punch|Thunder Wave|Thunderbolt|Uproar,100,134,110,95,100,61,600
Pelipper,Water,Flying,Keen Eye|Drizzle|Rain Dish,Acrobatics|Aerial Ace|Agility|Air Cutter|Air Slash|Aqua Ring|Blizzard|Body Slam|Brave Bird|Chilling Water|Dual Wingbeat|Endure|Facade|Feather Dance|Fling|Fly|Giga Impact|Gunk Shot|Helping Hand|Hurricane|Hydro Pump|Hyper Beam|Ice Beam|Icy Wind|Knock Off|Liquidation|Muddy Water|Protect|Quick Attack|Rain Dance|Rest|Roost|Round|Seed Bomb|Sleep Talk|Snore|Snowscape|Soak|Spit Up|Steel Wing|Stockpile|Substitute|Surf|Swallow|Tailwind|Thief|U-turn|Uproar|Water Pulse|Waterfall|Weather Ball|Whirlpool|Wide Guard,60,50,100,95,70,65,440
Gardevoir,Psychic,Fairy,Synchronize|Trace|Telepathy,Alluring Voice|Aura Sphere|Body Slam|Calm Mind|Charge Beam|Charm|Confuse Ray|Dazzling Gleam|Destiny Bond|Disable|Double Team|Draining Kiss|Encore|Endure|Energy Ball|Expanding Force|Facade|Fire Punch|Fling|Focus Blast|Future Sight|Giga Impact|Grass Knot|Gravity|Guard Swap|Heal Pulse|Healing Wish|Helping Hand|Hyper Beam|Hyper Voice|Hypnosis|Ice Punch|Icy Wind|Imprison|Knock Off|Life Dew|Light Screen|Magic Room|Mean Look|Memento|Misty Explosion|Misty Terrain|Moonblast|Mystical Fire|Night Shade|Pain Split|Power Swap|Protect|Psych Up|Psychic|Psychic Noise|Psychic Terrain|Psyshock|Rain Dance|Reflect|Rest|Round|Safeguard|Shadow Ball|Shadow Sneak|Skill Swap|Sleep Talk|Snore|Stored Power|Substitute|Sunny Day|Swagger|Taunt|Thief|Thunder Punch|Thunder Wave|Thunderbolt|Trick|Trick Room|Triple Axel|Vacuum Wave|Will-O-Wisp|Wish|Wonder Room|Zen Headbutt,68,65,65,125,115,80,518
Sableye,Dark,Ghost,Keen Eye|Stall|Prankster,Aerial Ace|Body Slam|Brick Break|Bulk Up|Calm Mind|Confuse Ray|Dark Pulse|Dazzling Gleam|Detect|Dig|Disable|Drain Punch|Encore|Endure|Energy Ball|Facade|Fake Out|Feint|Fire Punch|Flatter|Fling|Focus Punch|Foul Play|Giga Drain|Giga Impact|Gravity|Gyro Ball|Helping Hand|Hex|Hyper Beam|Ice Punch|Icy Wind|Imprison|Knock Off|Lash Out|Light Screen|Low Kick|Low Sweep|Mean Look|Mega Kick|Metal Burst|Mud Shot|Mud-Slap|Nasty Plot|Night Shade|Night Slash|Pain Split|Payback|Phantom Force|Poison Jab|Poltergeist|Power Gem|Protect|Psych Up|Psychic|Quash|Rain Dance|Recover|Reflect|Rest|Rock Tomb|Round|Safeguard|Shadow Ball|Shadow Claw|Shadow Punch|Shadow Sneak|Skill Swap|Skitter Smack|Sleep Talk|Snarl|Snore|Spite|Substitute|Sucker Punch|Sunny Day|Swagger|Taunt|Thief|Throat Chop|Thunder Punch|Thunder Wave|Torment|Trick|Will-O-Wisp|Wonder Room|X-Scissor|Zen Headbutt,50,75,75,65,65,50,380
Aggron,Steel,Rock,Sturdy|Rock Head|Heavy Metal,Ancient Power|Attract|Avalanche|Blizzard|Body Press|Body Slam|Brick Break|Brutal Swing|Bulldoze|Crunch|Curse|Dark Pulse|Dig|Double-Edge|Dragon Claw|Dragon Pulse|Dragon Rush|Earth Power|Earthquake|Endeavor|Endure|Facade|Fire Blast|Fire Punch|Flamethrower|Flash Cannon|Fling|Focus Blast|Giga Impact|Head Smash|Heavy Slam|High Horsepower|Hydro Pump|Hyper Beam|Ice Beam|Ice Punch|Icy Wind|Iron Defense|Iron Head|Iron Tail|Low Kick|Mega Kick|Metal Burst|Metal Sound|Meteor Beam|Mud-Slap|Outrage|Payback|Protect|Rain Dance|Rest|Reversal|Roar|Rock Blast|Rock Slide|Rock Tomb|Round|Sand Tomb|Sandstorm|Scary Face|Screech|Shadow Claw|Sleep Talk|Smart Strike|Snore|Solar Beam|Stealth Rock|Steel Beam|Steel Roller|Stomping Tantrum|Stone Edge|Substitute|Sunny Day|Superpower|Surf|Swagger|Taunt|Thunder|Thunder Punch|Thunder Wave|Thunderbolt|Uproar|Whirlpool,70,110,180,60,60,50,530
Medicham,Fighting,Psychic,Pure Power|Telepathy,Acupressure|Aerial Ace|Agility|Aura Sphere|Axe Kick|Baton Pass|Blaze Kick|Body Slam|Brick Break|Bulk Up|Bullet Punch|Calm Mind|Close Combat|Coaching|Counter|Detect|Drain Punch|Dynamic Punch|Endure|Energy Ball|Expanding Force|Facade|Fake Out|Feint|Fire Punch|Fling|Focus Blast|Focus Punch|Giga Impact|Grass Knot|Gravity|Guard Swap|Helping Hand|High Jump Kick|Hyper Beam|Ice Punch|Imprison|Light Screen|Low Kick|Low Sweep|Mega Kick|Night Shade|Pain Split|Poison Jab|Power Swap|Power Trick|Protect|Psych Up|Psychic|Psychic Terrain|Psycho Cut|Psyshock|Quick Guard|Rain Dance|Recover|Reflect|Rest|Reversal|Rock Slide|Rock Tomb|Round|Shadow Ball|Skill Swap|Sleep Talk|Snore|Stored Power|Substitute|Sunny Day|Taunt|Thief|Thunder Punch|Trailblaze|Trick|Trick Room|Upper Hand|Vacuum Wave|Zen Headbutt,60,60,75,60,75,80,410
Manectric,Electric,,Static|Lightning Rod|Minus,Agility|Attract|Bite|Body Slam|Charge|Charge Beam|Crunch|Curse|Discharge|Eerie Impulse|Electric Terrain|Electro Ball|Endure|Facade|Fire Fang|Flamethrower|Giga Impact|Howl|Hyper Beam|Hyper Voice|Ice Fang|Iron Tail|Light Screen|Overheat|Pounce|Protect|Psychic Fangs|Quick Attack|Rain Dance|Rest|Rising Voltage|Roar|Round|Scary Face|Sleep Talk|Snarl|Snore|Substitute|Supercell Slam|Switcheroo|Thief|Thunder|Thunder Fang|Thunder Wave|Thunderbolt|Trailblaze|Uproar|Volt Switch|Wild Charge,70,75,60,105,60,105,475
Sharpedo,Water,Dark,Rough Skin|Speed Boost,Agility|Ancient Power|Aqua Jet|Assurance|Attract|Avalanche|Bite|Blizzard|Bounce|Bulldoze|Chilling Water|Close Combat|Crunch|Dark Pulse|Destiny Bond|Dive|Double-Edge|Earthquake|Endure|Facade|Flip Turn|Focus Energy|Giga Impact|Hydro Pump|Hyper Beam|Ice Beam|Ice Fang|Icy Wind|Liquidation|Night Slash|Payback|Poison Fang|Poison Jab|Protect|Psychic Fangs|Rain Dance|Rest|Rock Tomb|Round|Scald|Scale Shot|Scary Face|Screech|Sleep Talk|Snarl|Snore|Substitute|Surf|Swagger|Taunt|Thief|Thrash|Uproar|Water Pulse|Waterfall|Whirlpool|Zen Headbutt,70,120,40,95,40,95,460
Camerupt,Fire,Ground,Magma Armor|Solid Rock|Anger Point,Amnesia|Ancient Power|Body Press|Body Slam|Bulldoze|Burning Jealousy|Charm|Curse|Dig|Double-Edge|Earth Power|Earthquake|Endeavor|Endure|Eruption|Facade|Fire Blast|Fire Spin|Fissure|Flame Charge|Flamethrower|Flare Blitz|Flash Cannon|Focus Energy|Giga Impact|Growth|Heat Crash|Heat Wave|Heavy Slam|Helping Hand|High Horsepower|Howl|Hyper Beam|Iron Head|Lash Out|Lava Plume|Mud Shot|Mud-Slap|Overheat|Protect|Rain Dance|Rest|Roar|Rock Slide|Rock Tomb|Round|Sandstorm|Scary Face|Scorching Sands|Self-Destruct|Sleep Talk|Smack Down|Snore|Solar Beam|Spit Up|Stealth Rock|Stockpile|Stomping Tantrum|Stone Edge|Substitute|Sunny Day|Swallow|Temper Flare|Trailblaze|Will-O-Wisp|Yawn|Zen Headbutt,70,100,70,105,75,40,460
Torkoal,Fire,,White Smoke|Drought|Shell Armor,Amnesia|Ancient Power|Body Press|Body Slam|Bulldoze|Burning Jealousy|Clear Smog|Curse|Double-Edge|Earth Power|Earthquake|Endure|Eruption|Facade|Fire Blast|Fire Spin|Fissure|Flail|Flame Charge|Flamethrower|Flare Blitz|Giga Impact|Gyro Ball|Heat Crash|Heat Wave|Heavy Slam|Helping Hand|Hyper Beam|Inferno|Iron Defense|Lava Plume|Overheat|Protect|Rapid Spin|Rest|Rock Slide|Rock Tomb|Round|Sandstorm|Scorching Sands|Self-Destruct|Shell Smash|Sleep Talk|Sludge Bomb|Snore|Solar Beam|Stealth Rock|Stomping Tantrum|Stone Edge|Substitute|Sunny Day|Superpower|Temper Flare|Weather Ball|Will-O-Wisp|Yawn|Zen Headbutt,70,85,140,85,70,20,470
Altaria,Dragon,Flying,Natural Cure|Cloud Nine,Acrobatics|Aerial Ace|Agility|Alluring Voice|Body Slam|Brave Bird|Breaking Swipe|Bulldoze|Cotton Guard|Dazzling Gleam|Defog|Double-Edge|Draco Meteor|Dragon Cheer|Dragon Claw|Dragon Dance|Dragon Pulse|Dragon Rush|Dual Wingbeat|Earthquake|Endeavor|Endure|Facade|Feather Dance|Fire Blast|Fire Spin|Flamethrower|Fly|Giga Impact|Haze|Heat Wave|Helping Hand|Hurricane|Hyper Beam|Hyper Voice|Ice Beam|Moonblast|Outrage|Perish Song|Play Rough|Pluck|Power Swap|Protect|Rain Dance|Rest|Roar|Roost|Round|Safeguard|Sing|Sky Attack|Sleep Talk|Snore|Snowscape|Solar Beam|Steel Wing|Substitute|Sunny Day|Tailwind|Thief|Trailblaze|Uproar|Weather Ball|Will-O-Wisp|Wonder Room,75,70,90,70,105,80,490
Milotic,Water,,Marvel Scale|Competitive|Cute Charm,Alluring Voice|Aqua Ring|Aqua Tail|Attract|Avalanche|Blizzard|Body Slam|Breaking Swipe|Brutal Swing|Bulldoze|Chilling Water|Coil|Confuse Ray|Dive|Double-Edge|Dragon Cheer|Dragon Dance|Dragon Pulse|Dragon Tail|Draining Kiss|Endure|Facade|Flail|Flip Turn|Giga Impact|Haze|Helping Hand|Hydro Pump|Hyper Beam|Hypnosis|Ice Beam|Icy Wind|Imprison|Iron Head|Iron Tail|Life Dew|Light Screen|Mirror Coat|Mud Shot|Muddy Water|Protect|Psych Up|Rain Dance|Recover|Rest|Round|Safeguard|Scald|Scale Shot|Skitter Smack|Sleep Talk|Snore|Substitute|Surf|Tickle|Triple Axel|Water Pulse|Waterfall|Weather Ball|Whirlpool|Wrap,95,60,79,100,125,81,540
Castform,Normal,,Forecast,Amnesia|Attract|Avalanche|Blizzard|Body Slam|Chilling Water|Cosmic Power|Endure|Energy Ball|Facade|Fire Blast|Flamethrower|Future Sight|Guard Swap|Hex|Hurricane|Hydro Pump|Ice Beam|Icy Wind|Protect|Rain Dance|Rest|Round|Sandstorm|Scald|Shadow Ball|Sleep Talk|Snore|Snowscape|Solar Beam|Substitute|Sunny Day|Thief|Thunder|Thunder Wave|Thunderbolt|Weather Ball,70,70,70,70,70,70,420
Banette,Ghost,,Insomnia|Frisk|Cursed Body,Burning Jealousy|Calm Mind|Charge Beam|Confuse Ray|Curse|Dark Pulse|Dazzling Gleam|Destiny Bond|Disable|Encore|Endure|Facade|Fling|Foul Play|Giga Impact|Gunk Shot|Helping Hand|Hex|Hyper Beam|Icy Wind|Imprison|Knock Off|Lash Out|Magic Room|Nasty Plot|Night Shade|Pain Split|Payback|Phantom Force|Poltergeist|Pounce|Protect|Psych Up|Psychic|Rain Dance|Rest|Role Play|Round|Scary Face|Screech|Shadow Ball|Shadow Claw|Shadow Punch|Shadow Sneak|Skill Swap|Skitter Smack|Sleep Talk|Snore|Spite|Substitute|Sucker Punch|Sunny Day|Swagger|Swords Dance|Taunt|Thief|Throat Chop|Thunder|Thunder Wave|Thunderbolt|Torment|Trailblaze|Trick|Trick Room|Will-O-Wisp|Zen Headbutt,64,115,65,83,63,65,455
Chimecho,Psychic,,Levitate,Ally Switch|Baton Pass|Boomburst|Calm Mind|Charge Beam|Charm|Cosmic Power|Curse|Dazzling Gleam|Disable|Double-Edge|Draining Kiss|Encore|Endure|Energy Ball|Expanding Force|Extrasensory|Facade|Fake Tears|Flash Cannon|Future Sight|Grass Knot|Gravity|Heal Bell|Heal Pulse|Healing Wish|Helping Hand|Hyper Voice|Hypnosis|Icy Wind|Imprison|Knock Off|Light Screen|Metal Sound|Protect|Psych Up|Psychic|Psychic Noise|Psyshock|Rain Dance|Recover|Recycle|Reflect|Rest|Round|Safeguard|Screech|Self-Destruct|Shadow Ball|Skill Swap|Sleep Talk|Snarl|Snore|Stored Power|Substitute|Sunny Day|Taunt|Thunder Wave|Trick|Trick Room|Uproar|Wish|Wrap|Yawn|Zen Headbutt,75,50,80,95,90,65,455
Absol,Dark,,Pressure|Super Luck|Justified,Aerial Ace|Air Slash|Assurance|Attract|Baton Pass|Bite|Blizzard|Body Slam|Bounce|Brutal Swing|Calm Mind|Close Combat|Confuse Ray|Curse|Dark Pulse|Detect|Double Team|Double-Edge|Endure|Facade|Feint|Fire Blast|Flamethrower|Focus Energy|Foul Play|Future Sight|Giga Impact|Hex|Hyper Beam|Ice Beam|Icy Wind|Iron Tail|Knock Off|Mean Look|Megahorn|Night Slash|Payback|Perish Song|Phantom Force|Play Rough|Protect|Psycho Cut|Quick Attack|Rain Dance|Rest|Rock Slide|Rock Tomb|Round|Sandstorm|Shadow Ball|Shadow Claw|Shadow Sneak|Sleep Talk|Snarl|Snore|Stone Edge|Substitute|Sucker Punch|Sunny Day|Superpower|Swords Dance|Taunt|Thief|Throat Chop|Thunder|Thunder Wave|Thunderbolt|Trailblaze|Will-O-Wisp|X-Scissor|Zen Headbutt,65,130,60,75,60,75,465
Glalie,Ice,,Inner Focus|Ice Body|Moody,Avalanche|Bite|Blizzard|Block|Body Slam|Bulldoze|Chilling Water|Crunch|Dark Pulse|Disable|Double Team|Earthquake|Endure|Explosion|Facade|Fake Tears|Foul Play|Freeze-Dry|Frost Breath|Giga Impact|Gyro Ball|Helping Hand|Hex|Hyper Beam|Ice Beam|Ice Fang|Ice Shard|Ice Spinner|Icicle Crash|Icicle Spear|Icy Wind|Iron Head|Light Screen|Payback|Protect|Rain Dance|Rest|Round|Scary Face|Self-Destruct|Shadow Ball|Sheer Cold|Sleep Talk|Snore|Snowscape|Spikes|Spite|Steel Roller|Substitute|Switcheroo|Taunt|Trailblaze|Water Pulse|Weather Ball,80,80,80,80,80,80,480
